wave	flux_density_flambda	error
849.8077803624994	0.002386161580485704	0.0003768164269496689
859.6480906849109	0.0022515409434834916	0.0003981126293209497
869.6023464306074	0.0022790289862181547	0.0003613345559224906
879.6718670253991	0.002249778949319212	0.00034127235044299634
889.8579871733409	0.0022715371759330105	0.0003587323412341846
900.1620570336179	0.002271223373151874	0.000307935400013547
910.5854423995364	0.002241557319769624	0.0002791345311552515
921.129524879533	0.002374323269721295	0.0002922349328234956
931.7957020803154	0.0023872057334890064	0.00029640732427446193
942.5853877921263	0.002472178635039716	0.0002940760239864816
953.5000121761118	0.0021966448616321903	0.00027286837014376807
964.5410219539193	0.002440843018294433	0.000268707391463695
975.7098805994284	0.002529471839930365	0.00023076097591676327
987.0080685327622	0.002397451602839491	0.0002271056125269332
998.43708331649		0.0023058436110923904	0.0002535714593196301
1009.9984398541375	0.0025078978831127325	0.00026652142637347464
1021.6936705909991	0.00303822441138312	0.00024975835729605666
1033.524325717233	0.00401448508631055	0.00021882064206607015
1045.4919733733702	0.0022893903551115314	0.00023545881606526972
1057.5981998581356	0.001974648723717223	0.0002403330873436496
1069.844609838746	0.002054990643580253	0.0002244869454255314
1082.2328265635701	0.0019294336516052744	0.00022931450676417603
1094.7644920773257	0.001717591368153813	0.00022577549448358656
1107.441267438698	0.0017835276593509732	0.00022228745622382447
1120.264832940526	0.0018656486098815306	0.00021974295275348097
1133.2368883325357	0.001737240113667254	0.000214578459193342
1146.3591530466094	0.0016926994335206412	0.00020339289124516482
1159.6333664247309	0.0015791371434861522	0.00019761291804464874
1173.0612879494954	0.0018629871050191114	0.00018084883264441885
1186.6446974773664	0.0023276080410947575	0.0001770920819193599
1200.385395474554	0.0038075871183323785	0.00015589114805265067
1214.285203255704	0.007901505538643067	0.00013515237968598703
1228.345963225277	0.003926086365005775	0.00015315729877744136
1242.5695391217726	0.002975773341791774	0.00014979343953025083
1256.9578162647786	0.002023344572992235	0.0001608167267623716
1271.5127018048354	0.0016449013190455342	0.00015897587291354218
1286.2361249762669	0.0015042840436963033	0.00015637809069325983
1301.1300373528554	0.0017060425117470075	0.00014689709795448195
1316.1964131065654	0.0014990283584624857	0.00015053761777092782
1331.4372492691778	0.001491900463453099	0.00014731125187024155
1346.8545659970123	0.0014164454343098308	0.0001463679785769425
1362.4504068387125	0.0014185343242136923	0.0001424890788177556
1378.2268390060783	0.001477031811007146	0.00013650158621742532
1394.1859536481163	0.001956770303939618	0.00012919697758801582
1410.3298661281744	0.0015899367539056993	0.00013268488592664925
1426.660716304377	0.0013705656683491972	0.00013677743661183637
1443.1806688132144	0.0012851382471329377	0.00013243818371383597
1459.8919133565093	0.0012690824807487869	0.00013229308920253356
1476.7966649916195	0.0013673504845182086	0.0001267130823370496
1493.897164425057	0.001342362616165784	0.0001225831955670549
1511.1956783095118	0.0014619746723952862	0.00012250436888627594
1528.6944995442498	0.002273473251368529	0.00012895734256967645
1546.3959475790837	0.003382515916558355	0.00012101005418380625
1564.3023687217644	0.001808130819855032	0.00011514692747936388
1582.416136449032	0.0013791765010493671	0.00010750502641663178
1600.7396517211653	0.001278203048095448	0.0001056492828697179
1619.2753433002792	0.00134097242965306	9.826004827890047e-05
1638.0256680722093	0.0014161193232419848	9.102613802691708e-05
1656.9931113721873	0.0013150426820777278	9.058809104816655e-05
1676.1801873142915	0.0011617691739925933	9.43271984244483e-05
1695.5894391246416	0.0010969576188713534	9.973935456496523e-05
1715.2234394785553	0.0011265483838404074	9.684739351462005e-05
1735.0847908414992	0.0010942582985445615	9.05481332483662e-05
1755.1761258140973	0.0011190766880445392	8.894149952064107e-05
1775.5001074810307	0.0010534158506612522	8.623256008312441e-05
1796.059429764048	0.0010068153978565514	8.301682454525571e-05
